,b1_common,b1_common_stemmed,b2_common,b2_common_stemmed
0,"('food', 87)","('food', 88)","('hotel', 125)","('room', 150)"
1,"('nt', 86)","('julep', 87)","('room', 115)","('hotel', 149)"
2,"('good', 78)","('nt', 86)","('nt', 108)","('stay', 113)"
3,"('Julep', 64)","('good', 80)","('airport', 74)","('nt', 108)"
4,"('chicken', 55)","('great', 60)","('stay', 73)","('airport', 78)"
5,"('grits', 52)","('chicken', 59)","('staff', 60)","('staff', 67)"
6,"('great', 50)","('order', 57)","('shuttle', 56)","('breakfast', 61)"
7,"('place', 48)","('grit', 56)","('breakfast', 54)","('shuttl', 61)"
8,"('shrimp', 45)","('place', 53)","('night', 54)","('night', 60)"
9,"('like', 42)","('shrimp', 52)","('Hampton', 52)","('clean', 59)"
